SITE_ID(Taipei-Free熱點代碼),AGENCY(機關名稱),NAME(熱點名稱),VENDOR_ID(業者),AREA(行政區),Address(地址),LATITUDE(緯度),LONGITUDE(經度)
TPEE000420,臺北市政府公共運輸處,金城春曉-康寧路一段,TAIFO,內湖區,114臺北市內湖區康寧路一段265號前候車亭,121.598495,25.078807
TPEE000421,臺北市政府公共運輸處,國防醫學中心-N1-成功路二段,TAIFO,內湖區,114臺北市內湖區成功路二段412號對面候車亭,121.5901141,25.0711579
TPEE000422,臺北市政府公共運輸處,基湖站-基湖路,TAIFO,內湖區,114臺北市內湖區基湖路25號旁候車亭,121.564941,25.08019
TPEE000423,臺北市政府公共運輸處,將軍嶺-N-成功路二段,TAIFO,內湖區,114臺北市內湖區成功路二段367號前候車亭,121.590057,25.073801
TPEE000424,臺北市政府公共運輸處,將軍嶺-S-成功路二段,TAIFO,內湖區,114臺北市內湖區成功路二段492號旁候車亭,121.589752,25.073392
TPEE000425,臺北市政府公共運輸處,捷運內湖站-成功路四段,TAIFO,內湖區,114臺北市內湖區成功路四段155號旁候車亭,121.594169,25.083276
TPEE000426,臺北市政府公共運輸處,清白里-S-金湖路,TAIFO,內湖區,114臺北市內湖區金湖路23號旁候車亭,121.595733,25.083251
TPEE000427,臺北市政府公共運輸處,湖光國宅-W1-文德路,TAIFO,內湖區,114臺北市內湖區文德路25號旁候車亭,121.580635,25.078607
TPEE000429,臺北市政府公共運輸處,新湖三路口(台北花市)-舊宗路一段,TAIFO,內湖區,114臺北市內湖區舊宗路一段130號前候車亭,121.5775435,25.0622481
TPEE000431,臺北市政府公共運輸處,團管區-金湖路,TAIFO,內湖區,114臺北市內湖區金湖路361號旁候車亭,121.6023868,25.0736266
TPEE000432,臺北市政府公共運輸處,保一總隊-石牌路二段,TAIFO,北投區,112臺北市北投區立農街二段301號斜對面候車亭,121.517372,25.118865
TPEE000433,臺北市政府公共運輸處,民權大橋-W1-民權東路六段,TAIFO,內湖區,114臺北市內湖區民權東路六段13之15號旁候車亭,121.5789774,25.0669372
TPEE000434,臺北市政府公共運輸處,基湖路口-W1-瑞光路,TAIFO,內湖區,114臺北市內湖區瑞光路639號旁候車亭,121.5659483,25.0804956
TPEE000435,臺北市政府公共運輸處,信義市場-N-信義路三段,TAIFO,大安區,106臺北市大安區信義路三段89號旁(建國南路一段本線)候車亭,121.5381042,25.033966
TPEE000436,臺北市政府公共運輸處,新湖舊宗路口-E-新湖二路,TAIFO,內湖區,114臺北市內湖區新湖二路128號對面候車亭,121.5786444,25.0620538
TPEE000437,臺北市政府公共運輸處,信義國中(松仁)-N-松仁路,TAIFO,信義區,110臺北市信義區松仁路155號前候車亭,121.568313,25.0288815
TPEE000438,臺北市政府公共運輸處,南京舊宗路口-E-新明路,TAIFO,內湖區,114臺北市內湖區新明路380巷15號前方候車亭 ,121.579849,25.055978
TPEE000439,臺北市政府公共運輸處,康寧護專-S-康寧路三段,TAIFO,內湖區,114臺北市內湖區康寧路三段75巷80號斜對面候車亭,121.610271,25.075431
TPEE000441,臺北市政府公共運輸處,紫雲里-N-金湖路,TAIFO,內湖區,114臺北市內湖區金湖路200號旁候車亭,121.600395,25.07761
